downloads,date,package
3,2017-12-10,shiny
67,2017-12-10,plotnine
3,2017-12-11,shiny
56,2017-12-11,plotnine
2,2017-12-12,shiny
53,2017-12-12,plotnine
9,2017-12-13,shiny
36,2017-12-13,plotnine
54,2017-12-14,plotnine
8,2017-12-14,shiny
3,2017-12-15,shiny
46,2017-12-15,plotnine
4,2017-12-16,shiny
57,2017-12-16,plotnine
1,2017-12-17,shiny
55,2017-12-17,plotnine
2,2017-12-18,shiny
63,2017-12-18,plotnine
76,2017-12-19,plotnine
5,2017-12-19,shiny
4,2017-12-20,shiny
83,2017-12-20,plotnine
4,2017-12-21,shiny
57,2017-12-21,plotnine
4,2017-12-22,shiny
70,2017-12-22,plotnine
54,2017-12-23,plotnine
3,2017-12-23,shiny
76,2017-12-24,plotnine
3,2017-12-24,shiny
4,2017-12-25,shiny
53,2017-12-25,plotnine
2,2017-12-26,shiny
54,2017-12-26,plotnine
49,2017-12-27,plotnine
6,2017-12-27,shiny
51,2017-12-28,plotnine
2,2017-12-28,shiny
3,2017-12-29,shiny
64,2017-12-29,plotnine
4,2017-12-30,shiny
59,2017-12-30,plotnine
77,2017-12-31,plotnine
1,2017-12-31,shiny
73,2018-01-01,plotnine
1,2018-01-02,shiny
113,2018-01-02,plotnine
2,2018-01-03,shiny
115,2018-01-03,plotnine
3,2018-01-04,shiny
134,2018-01-04,plotnine
162,2018-01-05,plotnine
2,2018-01-05,shiny
6,2018-01-06,shiny
384,2018-01-06,plotnine
7,2018-01-07,shiny
127,2018-01-07,plotnine
6,2018-01-08,shiny
114,2018-01-08,plotnine
146,2018-01-09,plotnine
6,2018-01-09,shiny
100,2018-01-10,plotnine
3,2018-01-10,shiny
114,2018-01-11,plotnine
1,2018-01-11,shiny
114,2018-01-12,plotnine
4,2018-01-12,shiny
5,2018-01-13,shiny
220,2018-01-13,plotnine
110,2018-01-14,plotnine
5,2018-01-14,shiny
80,2018-01-15,plotnine
4,2018-01-15,shiny
79,2018-01-16,plotnine
65,2018-01-17,plotnine
11,2018-01-17,shiny
1,2018-01-18,shiny
67,2018-01-18,plotnine
121,2018-01-19,plotnine
3,2018-01-19,shiny
5,2018-01-20,shiny
183,2018-01-20,plotnine
130,2018-01-21,plotnine
4,2018-01-21,shiny
5,2018-01-22,shiny
75,2018-01-22,plotnine
11,2018-01-23,shiny
100,2018-01-23,plotnine
70,2018-01-24,plotnine
3,2018-01-24,shiny
83,2018-01-25,plotnine
7,2018-01-25,shiny
56,2018-01-26,shiny
83,2018-01-26,plotnine
224,2018-01-27,plotnine
5,2018-01-27,shiny
210,2018-01-28,plotnine
3,2018-01-28,shiny
2,2018-01-29,shiny
119,2018-01-29,plotnine
2,2018-01-30,shiny
138,2018-01-30,plotnine
109,2018-01-31,plotnine
2,2018-01-31,shiny
2,2018-02-01,shiny
180,2018-02-01,plotnine
5,2018-02-02,shiny
167,2018-02-02,plotnine
4,2018-02-03,shiny
295,2018-02-03,plotnine
1,2018-02-04,shiny
204,2018-02-04,plotnine
3,2018-02-05,shiny
174,2018-02-05,plotnine
115,2018-02-06,plotnine
1,2018-02-06,shiny
1,2018-02-07,shiny
160,2018-02-07,plotnine
2,2018-02-08,shiny
123,2018-02-08,plotnine
4,2018-02-09,shiny
177,2018-02-09,plotnine
428,2018-02-10,plotnine
5,2018-02-10,shiny
349,2018-02-11,plotnine
4,2018-02-11,shiny
4,2018-02-12,shiny
241,2018-02-12,plotnine
149,2018-02-13,plotnine
4,2018-02-13,shiny
1,2018-02-14,shiny
127,2018-02-14,plotnine
118,2018-02-15,plotnine
3,2018-02-15,shiny
4,2018-02-16,shiny
165,2018-02-16,plotnine
3,2018-02-17,shiny
246,2018-02-17,plotnine
237,2018-02-18,plotnine
2,2018-02-18,shiny
1,2018-02-19,shiny
150,2018-02-19,plotnine
115,2018-02-20,plotnine
3,2018-02-20,shiny
103,2018-02-21,plotnine
1,2018-02-21,shiny
114,2018-02-22,plotnine
151,2018-02-23,plotnine
4,2018-02-23,shiny
1,2018-02-24,shiny
225,2018-02-24,plotnine
211,2018-02-25,plotnine
4,2018-02-25,shiny
135,2018-02-26,plotnine
89,2018-02-27,plotnine
115,2018-02-28,plotnine
1,2018-02-28,shiny
3,2018-03-01,shiny
82,2018-03-01,plotnine
1,2018-03-02,shiny
132,2018-03-02,plotnine
192,2018-03-03,plotnine
1,2018-03-04,shiny
210,2018-03-04,plotnine
2,2018-03-05,shiny
94,2018-03-05,plotnine
1,2018-03-06,shiny
137,2018-03-06,plotnine
1,2018-03-07,shiny
97,2018-03-07,plotnine
4,2018-03-08,shiny
93,2018-03-08,plotnine
91,2018-03-09,plotnine
2,2018-03-09,shiny
4,2018-03-10,shiny
238,2018-03-10,plotnine
232,2018-03-11,plotnine
4,2018-03-11,shiny
114,2018-03-12,plotnine
1,2018-03-13,shiny
74,2018-03-13,plotnine
94,2018-03-14,plotnine
1,2018-03-14,shiny
2,2018-03-15,shiny
122,2018-03-15,plotnine
103,2018-03-16,plotnine
206,2018-03-17,plotnine
4,2018-03-17,shiny
208,2018-03-18,plotnine
134,2018-03-19,plotnine
74,2018-03-20,plotnine
1,2018-03-20,shiny
1,2018-03-21,shiny
99,2018-03-21,plotnine
77,2018-03-22,plotnine
58,2018-03-23,plotnine
1,2018-03-23,shiny
235,2018-03-24,plotnine
1,2018-03-24,shiny
245,2018-03-25,plotnine
2,2018-03-26,shiny
83,2018-03-26,plotnine
73,2018-03-27,plotnine
51,2018-03-28,plotnine
1,2018-03-28,shiny
122,2018-03-29,plotnine
1,2018-03-29,shiny
5,2018-03-30,shiny
152,2018-03-30,plotnine
191,2018-03-31,plotnine
2,2018-03-31,shiny
2,2018-04-01,shiny
165,2018-04-01,plotnine
129,2018-04-02,plotnine
3,2018-04-02,shiny
113,2018-04-03,plotnine
80,2018-04-04,plotnine
1,2018-04-04,shiny
248,2018-04-05,plotnine
3,2018-04-06,shiny
264,2018-04-06,plotnine
5,2018-04-07,shiny
256,2018-04-07,plotnine
209,2018-04-08,plotnine
330,2018-04-09,plotnine
1,2018-04-09,shiny
168,2018-04-10,plotnine
171,2018-04-11,plotnine
1,2018-04-12,shiny
118,2018-04-12,plotnine
118,2018-04-13,plotnine
2,2018-04-13,shiny
255,2018-04-14,plotnine
